CodigoCliente;CodigoContrato;DataInicio;DataTermino;Fechado;Placa;Cor;Modelo;ValorPeriodoVeiculo;ValorCombustivel;ValorLocacao;PeriodoTarifa;ValorDiversos
477;22580;25/09/2020 00:00;28/09/2020 00:00;Sim;RFM9A47;Branco Banchisa;Gol 1.0 Flex 12v 5p;R$ 80,00;R$ 0,00;R$ 240,00;1;R$ 0,00
1035;22593;28/09/2020 00:00;26/11/2020 00:00;Sim;QPO8329;Prata;Gol 1.0 Flex 12v 5p;R$ 1.800,00;R$ 142,52;R$ 3.879,95;30;R$ 0,00
521;22596;28/09/2020 00:00;18/11/2020 00:00;Sim;QWU1181;Prata;Etios Hb Xls 1.5;R$ 63,34;R$ 173,06;R$ 3.553,40;1;R$ 150,00
1609;22626;05/10/2020 00:00;08/10/2020 00:00;Sim;PWY8734;Branca;Fiorino Furgão 1.4 Flex;R$ 183,33;R$ 0,00;R$ 549,99;1;R$ 0,00
1881;22628;06/10/2020 00:00;07/10/2020 00:00;Sim;RFP7J83;Branca;Ka Se 1.0 Ha;R$ 55,56;R$ 0,00;R$ 100,00;1;R$ 0,00
1957;22631;06/10/2020 00:00;17/11/2020 00:00;Sim;RFP7J72;Branca;Ka Se 1.0 Ha;R$ 1.750,00;R$ 0,00;R$ 2.450,00;30;R$ 0,00
1958;22633;07/10/2020 00:00;12/10/2020 00:00;Sim;QQU2455;Prata;Corolla Gli 1.8 Cvt;R$ 330,00;R$ 0,00;R$ 1.650,00;1;R$ 0,00
1959;22636;08/10/2020 00:00;13/10/2020 00:00;Sim;RFP7J96;Branca;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 500,00;1;R$ 0,00
1960;22637;08/10/2020 00:00;13/10/2020 00:00;Sim;RFP7J83;Branca;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 500,00;1;R$ 0,00
1404;22635;08/10/2020 00:00;09/10/2020 00:00;Sim;RFP7J85;Branca;Ka Se 1.0 Ha;R$ 0,01;R$ 61,08;R$ 61,10;1;R$ 0,00
1961;22638;09/10/2020 00:00;14/10/2020 00:00;Sim;RFP7J93;Branca;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 500,00;1;R$ 0,00
1963;22642;09/10/2020 00:00;14/10/2020 00:00;Sim;RFP7J90;Branca;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 850,00;1;R$ 350,00
1962;22641;09/10/2020 00:00;13/10/2020 00:00;Sim;RFI4A44;Cinza;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 400,00;1;R$ 0,00
839;22646;13/10/2020 00:00;30/11/2020 00:00;Sim;QXG3475;Branca;Onix 1.0mt Lt Flex Power Sp. Mec.;R$ 1.900,00;R$ 0,00;R$ 3.040,00;30;R$ 0,00
1969;22693;15/10/2020 00:00;19/10/2020 00:00;Sim;RFP7J81;Branca;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 400,00;1;R$ 0,00
1974;22735;19/10/2020 00:00;23/10/2020 00:00;Sim;RFP7J93;Branca;Ka Se 1.0 Ha;R$ 90,00;R$ 0,00;R$ 450,00;1;R$ 0,00
1963;22766;21/10/2020 00:00;13/11/2020 00:00;Sim;RFT6C21;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;R$ 60,00;R$ 0,00;R$ 1.820,00;1;R$ 380,00
848;22776;21/10/2020 00:00;18/11/2020 00:00;Sim;RFT6C10;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;R$ 53,33;R$ 0,00;R$ 1.493,24;1;R$ 0,00
1175;22775;21/10/2020 00:00;27/10/2020 00:00;Sim;RFT6C24;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;R$ 130,00;R$ 0,00;R$ 780,00;1;R$ 0,00
