CodigoCliente;CodigoContrato;DataInicio;DataTermino;Fechado;Placa;Cor;Modelo;ValorPeriodoVeiculo;ValorCombustivel;ValorLocacao;PeriodoTarifa;ValorDiversos
477;22580;25/09/2020;28/09/2020;Sim;RFM9A47;Branco Banchisa;Gol 1.0 Flex 12v 5p;80;0;240;1;0
1035;22593;28/09/2020;26/11/2020;Sim;QPO8329;Prata;Gol 1.0 Flex 12v 5p;1800;142,52;3879,95;30;0
521;22596;28/09/2020;18/11/2020;Sim;QWU1181;Prata;Etios Hb Xls 1.5;63,34;173,06;3553,4;1;150
1609;22626;05/10/2020;08/10/2020;Sim;PWY8734;Branca;Fiorino Furgão 1.4 Flex;183,33;0;549,99;1;0
1881;22628;06/10/2020;07/10/2020;Sim;RFP7J83;Branca;Ka Se 1.0 Ha;55,56;0;100;1;0
1957;22631;06/10/2020;17/11/2020;Sim;RFP7J72;Branca;Ka Se 1.0 Ha;1750;0;2450;30;0
1958;22633;07/10/2020;12/10/2020;Sim;QQU2455;Prata;Corolla Gli 1.8 Cvt;330;0;1650;1;0
1959;22636;08/10/2020;13/10/2020;Sim;RFP7J96;Branca;Ka Se 1.0 Ha;100;0;500;1;0
1960;22637;08/10/2020;13/10/2020;Sim;RFP7J83;Branca;Ka Se 1.0 Ha;100;0;500;1;0
1404;22635;08/10/2020;09/10/2020;Sim;RFP7J85;Branca;Ka Se 1.0 Ha;0,01;61,08;61,1;1;0
1961;22638;09/10/2020;14/10/2020;Sim;RFP7J93;Branca;Ka Se 1.0 Ha;100;0;500;1;0
1963;22642;09/10/2020;14/10/2020;Sim;RFP7J90;Branca;Ka Se 1.0 Ha;100;0;850;1;350
1962;22641;09/10/2020;13/10/2020;Sim;RFI4A44;Cinza;Ka Se 1.0 Ha;100;0;400;1;0
839;22646;13/10/2020;30/11/2020;Sim;QXG3475;Branca;Onix 1.0mt Lt Flex Power Sp. Mec.;1900;0;3040;30;0
1969;22693;15/10/2020;19/10/2020;Sim;RFP7J81;Branca;Ka Se 1.0 Ha;100;0;400;1;0
1974;22735;19/10/2020;23/10/2020;Sim;RFP7J93;Branca;Ka Se 1.0 Ha;90;0;450;1;0
1963;22766;21/10/2020;13/11/2020;Sim;RFT6C21;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;60;0;1820;1;380
848;22776;21/10/2020;18/11/2020;Sim;RFT6C10;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;53,33;0;1493,24;1;0
1175;22775;21/10/2020;27/10/2020;Sim;RFT6C24;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;130;0;780;1;0
2082;22806;24/10/2020;26/10/2020;Sim;QOO3920;Prata;Saveiro Robust 1.6 Total Flex 8v;57,69;0;150;1;0
2015;22840;27/10/2020;27/10/2020;Sim;RFM9A51;Branco;Gol 1.0 Flex 12v 5p;100;0;100;1;0
1541;22885;29/10/2020;10/11/2020;Sim;RFU8B54;Branco;Ka Se 1.0 Ha;1900;0;760;30;0
1780;23648;02/11/2020;12/12/2020;Sim;QOS4685;Preta;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;2900;0;3866,67;30;0
1780;22899;02/11/2020;12/11/2020;Sim;QQU9615;Preta;Corolla Gli 1.8 Cvt;4000;0;0;30;0
1780;23106;02/11/2020;05/12/2020;Sim;RFX2E24;Branca;Hilux Cd 4x4 2.8 Diesel Mec;2900;0;0;30;0
1583;23001;06/11/2020;26/11/2020;Sim;QUZ7003;Branca;Hb 20 1.0 Unique Flex 12v Mec.;1734,93;0;1200;30;0
1493;22890;09/11/2020;26/11/2020;Sim;QQU2455;Prata;Corolla Gli 1.8 Cvt;200;0;3583,37;1;0
848;23159;13/11/2020;16/11/2020;Sim;QQU9615;Preta;Corolla Gli 1.8 Cvt;100;0;300;1;0
1035;23286;16/11/2020;17/11/2020;Sim;RFT6C22;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;2000;0;96,67;30;30
2089;23198;18/11/2020;20/11/2020;Sim;RFP7J72;Branca;Ka Se 1.0 Ha;100;0;200;1;0
1670;23203;18/11/2020;18/12/2020;Sim;RFQ7H05;Cinza Moscou;Ka Se 1.0 Ha;1650;0;1650;30;0
2091;23255;24/11/2020;24/12/2020;Sim;RFU8B54;Branco;Ka Se 1.0 Ha;1550;0;1550;30;0
2092;23264;24/11/2020;26/11/2020;Sim;RFT6C21;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;200;0;400;1;0
2093;23265;25/11/2020;23/12/2020;Sim;RFT2A86;Cinza Moscou;Ka Se 1.0 Ha;1650;0;1540;30;0
1305;23292;27/11/2020;30/11/2020;Sim;RFQ7H03;Cinza Moscou;Ka Se 1.0 Ha;100;0;300;1;0
1001;23336;30/11/2020;23/01/2021;Sim;QUY5576;Branca;Frontier Se Atx 4;6800;0;12240;30;0
2099;23597;03/12/2020;20/01/2021;Sim;QQU9615;Preta;Corolla Gli 1.8 Cvt;3920;0;6400;30;8,21
2101;23633;04/12/2020;03/01/2021;Sim;RFT6C14;Prata;Gol 1.6 Msi Flex 8v 5p;1850;0;1850;30;0
2100;23617;04/12/2020;09/12/2020;Sim;RFQ7H03;Cinza Moscou;Ka Se 1.0 Ha;100;0;530;1;30
1305;23637;05/12/2020;10/12/2020;Sim;RFM9A47;Branco Banchisa;Gol 1.0 Flex 12v 5p;100;0;500;1;0
2103;23662;07/12/2020;04/01/2021;Sim;RFP7J90;Branca;Ka Se 1.0 Ha;1650;0;1540;30;0
2102;23647;07/12/2020;07/01/2021;Sim;QWR4067;Prata Sand;Hb 20 1.0 Unique Flex 12v Mec.;1596,77;0;1650;30;0
1488;23663;07/12/2020;06/01/2021;Sim;RFT2A90;Branco;Ka Se 1.0 Ha;1650;0;1650;30;0
2104;23664;11/12/2020;11/01/2021;Sim;RFQ7H03;Cinza Moscou;Ka Se 1.0 Ha;1595;0;1650;30;1,83
2105;23677;11/12/2020;03/02/2021;Sim;QUZ7003;Branca;Hb 20 1.0 Unique Flex 12v Mec.;1600;0;2880;30;0
1268;23673;11/12/2020;12/01/2021;Sim;QWU1064;Prata;Etios Hb Xls 1.5;46,87;0;1500;1;0,16
1476;23687;12/12/2020;19/12/2020;Sim;RFP7J83;Branca;Ka Se 1.0 Ha;100;0;730;1;30
1948;23695;14/12/2020;13/01/2021;Sim;RFI4A56;Branco;Ka Se 1.0 Ha;1600;0;1600;30;0
2107;23720;17/12/2020;14/01/2021;Sim;RFP7J87;Branca;Ka Se 1.0 Ha;1650;0;1680;30;103,36
1983;23739;18/12/2020;21/12/2020;Sim;RGA5J79;Prata;STRADA ENDURANCE CS 1.4 02;100;0;300;1;0
2110;23744;19/12/2020;18/01/2021;Sim;QWU1181;Prata;Etios Hb Xls 1.5;60;0;1800;1;0
1961;23741;20/12/2020;04/01/2021;Sim;RMF0A20;Preta;Gol 1.6 Msi Flex 8v 5p;100;0;1500;1;0
2106;23745;21/12/2020;21/01/2021;Sim;RMF0A22;Cinza;Gol 1.6 Msi Flex 8v 5p;1519,8;0;1600;30;0
1863;23749;21/12/2020;28/12/2020;Sim;RME6J06;Cinza;Gol 1.6 Msi Flex 8v 5p;130;0;910;1;0
1863;23750;21/12/2020;04/01/2021;Sim;RME6J07;Cinza;Gol 1.6 Msi Flex 8v 5p;110;0;1540;1;0
2114;23747;21/12/2020;20/01/2021;Sim;RMF0A19;Cinza;Gol 1.6 Msi Flex 8v 5p;55;0;1650;1;0
2113;23757;22/12/2020;28/12/2020;Sim;RME6J14;Cinza;Gol 1.6 Msi Flex 8v 5p;130;0;780;1;0
1481;23780;23/12/2020;12/01/2021;Sim;QQU2455;Prata;Corolla Gli 1.8 Cvt;150;0;3000;1;0
2115;23766;23/12/2020;28/12/2020;Sim;RFP7J83;Branca;Ka Se 1.0 Ha;100;0;500;1;0
2117;23786;24/12/2020;06/01/2021;Sim;QWR6983;Cinza;Etios Hb Xls 1.5;100;0;1360;1;60
2116;23782;24/12/2020;28/12/2020;Sim;RFP7J91;Branca;Ka Se 1.0 Ha;100;0;400;1;0
695;23791;29/12/2020;28/01/2021;Sim;RFU8B54;Branco;Ka Se 1.0 Ha;1750;0;2190;30;440
2118;23828;30/12/2020;31/12/2020;Sim;QWR6984;Cinza;Etios Hb Xls 1.5;0;0;0;1;0
2119;23883;31/12/2020;04/01/2021;Sim;RFP7J83;Branca;Ka Se 1.0 Ha;100;0;400;1;0
520;23885;04/01/2021;24/02/2021;Sim;RME6J07;Cinza;Gol 1.6 Msi Flex 8v 5p;1800;0;3060;30;0
2122;23909;06/01/2021;05/02/2021;Sim;RFP7J90;Branca;Ka Se 1.0 Ha;1650;0;1650;30;0
1488;23910;06/01/2021;05/02/2021;Sim;RFT2A90;Branco;Ka Se 1.0 Ha;1650;0;1650;30;0
2123;23912;08/01/2021;11/01/2021;Sim;RFQ7H08;Cinza Moscou;Ka Se 1.0 Ha;100;0;300;1;0
340;24161;18/01/2021;18/01/2021;Sim;RFP7J87;Branca;Ka Se 1.0 Ha;100;0;0;1;0
340;24162;18/01/2021;21/01/2021;Sim;RFT2A86;Cinza Moscou;Ka Se 1.0 Ha;100;0;300;1;0
2126;24180;20/01/2021;29/01/2021;Sim;QWU1193;Prata;Etios Hb Xls 1.5;120;0;1080;1;0
2002;23792;25/01/2021;26/02/2021;Sim;QOS4685;Preta;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;2000;0;2133,33;30;0
1609;24233;28/01/2021;01/02/2021;Sim;RFQ7H08;Cinza Moscou;Ka Se 1.0 Ha;75;0;330;1;30
2129;24246;29/01/2021;01/02/2021;Sim;RFP7J87;Branca;Ka Se 1.0 Ha;100;0;300;1;35
2131;24263;29/01/2021;01/03/2021;Sim;RMF0A19;Cinza;Gol 1.6 Msi Flex 8v 5p;1550;0;1601,67;30;0
2003;24437;04/02/2021;05/02/2021;Sim;RMI2E40;Prata Bari;STRADA ENDURANCE CS 1.4 02;150;0;150;1;0
1305;24463;05/02/2021;10/02/2021;Sim;RFU8B54;Branco;Ka Se 1.0 Ha;100;0;500;1;0
1806;24509;06/02/2021;08/02/2021;Sim;RFP7J91;Branca;Ka Se 1.0 Ha;100;0;200;1;0
1983;24512;08/02/2021;10/02/2021;Sim;RGA5J81;Prata;STRADA ENDURANCE CS 1.4 02;170;0;340;1;0
2137;24543;10/02/2021;11/02/2021;Sim;RFP7J91;Branca;Ka Se 1.0 Ha;100;0;296,65;1;30
2138;24568;11/02/2021;20/02/2021;Sim;RFU8B54;Branco;Ka Se 1.0 Ha;90;0;840;1;30
1949;24610;12/02/2021;15/02/2021;Sim;RFT2A86;Cinza Moscou;Ka Se 1.0 Ha;100;0;300;1;0
1035;24668;12/02/2021;17/02/2021;Sim;PPY8018;Branca;Frontier Se Atx 4;0,01;0;0,05;1;0
1806;24611;12/02/2021;18/02/2021;Sim;QWR6981;Cinza;Etios Hb Xls 1.5;90;0;540;1;0
2140;24612;12/02/2021;15/02/2021;Sim;RML0C55;Prata;Gol 1.6 Msi Flex 8v 5p;100;0;300;1;0
2139;24571;12/02/2021;22/02/2021;Sim;RFI4A56;Branco;Ka Se 1.0 Ha;90;0;900;1;0
2141;24613;13/02/2021;15/02/2021;Sim;QWU1020;Prata;Etios Hb Xls 1.5;130;0;260;1;0
2144;24653;17/02/2021;17/03/2021;Sim;RFT2A86;Cinza Moscou;Ka Se 1.0 Ha;1607,14;0;1500;30;0
816;24659;18/02/2021;23/03/2021;Sim;QWU1181;Prata;Etios Hb Xls 1.5;1800;0;2005;30;0
2101;24669;19/02/2021;22/03/2021;Sim;QWU1020;Prata;Etios Hb Xls 1.5;1741,94;0;1800;30;0
2147;24675;20/02/2021;24/03/2021;Sim;QWR6981;Cinza;Etios Hb Xls 1.5;1700;0;1813,33;30;0
841;24707;22/02/2021;25/02/2021;Sim;RMF0A17;Prata;Gol 1.6 Msi Flex 8v 5p;100;0;330;1;30
848;24721;24/02/2021;01/03/2021;Sim;RMD5B14;Branco;Toro Endurance Atd4;300;0;1500;1;0
2082;24969;25/02/2021;27/02/2021;Sim;RMI2E40;Prata Bari;STRADA ENDURANCE CS 1.4 02;75;0;150;1;0
2003;25066;05/03/2021;08/03/2021;Sim;RMI2E40;Prata Bari;STRADA ENDURANCE CS 1.4 02;150;0;450;1;0
2152;25128;22/03/2021;23/03/2021;Sim;RMO6H51;Prata;Ka Se 1.0 Ha;100;0;141,65;1;0
